"Freq [GHz]","ang_rad(S(waveport1,antenna)) [rad]","ang_rad(S(waveport2,antenna)) [rad]"
0.001,2.33382996184743,-2.33657234302583
0.0084975,3.00721260721268,-3.02954912761279
0.015995,3.05489388042641,-3.09690645525803
0.0234925,3.06598818579438,-3.12768361738204
0.03099,3.0669694324153,3.13483568877947
0.0384875,3.0637385622427,3.11838106585991
0.045985,3.05835383262688,3.1040799829003
0.0534825,3.05172047634676,3.0910274027967
0.06098,3.04429884745271,3.07876308176018
0.0684775,3.03634779496767,3.0670282395521
0.075975,3.02802403735514,3.055666208597
0.0834725,3.01942800884074,3.04457659388899
0.09097,3.0106270455517,3.03369209216752
0.0984675,3.00166798260419,3.02296589721299
0.105965,2.99258440266724,3.01236444718018
0.1134625,2.98340101917239,3.00186305727544
0.12096,2.97413642062041,2.99144316363826
0.1284575,2.9648048579324,2.98109053773398
0.135955,2.95541744074427,2.97079409172057
0.1434525,2.94598295819965,2.96054505781497
0.15095,2.9365084551687,2.95033641218524
0.1584475,2.92699964489194,2.94016246238633
0.165945,2.91746120977529,2.93001854662311
0.1734425,2.90789702417716,2.91990081100648
0.18094,2.8983103218117,2.90980604218261
0.1884375,2.88870382319191,2.89973153991484
0.195935,2.87907983381525,2.88967501891726
0.2034325,2.86944032063916,2.87963453239446
0.21093,2.85978697224776,2.86960841188686
0.2184275,2.85012124662816,2.859595219504
0.225925,2.84044440943442,2.8495937096685
0.2334225,2.83075756487774,2.83960279823222
0.24092,2.82106168084929,2.82962153735883
0.2484175,2.81135760949371,2.81964909495464
0.255915,2.80164610416666,2.8096847377149
0.2634125,2.79192783349642,2.79972781706532
0.27091,2.78220339311075,2.78977775743792
0.2784075,2.7724733154691,2.7798340464412
0.285905,2.7627380781479,2.7698962265769
0.2934025,2.75299811085556,2.75996388822675
0.3009,2.74325380139897,2.75003666368763
0.3083975,2.73350550077958,2.7401142220768
0.315895,2.72375352756401,2.73019626496264
0.3233925,2.71399817164667,2.72028252260311
0.33089,2.70423969750089,2.71037275069565
0.3383875,2.69447834699801,2.70046672755904
0.345885,2.68471434185974,2.69056425168183
0.3533825,2.67494788579852,2.68066513958286
0.36088,2.665179166391,2.67076922393838
0.3683775,2.65540835672288,2.66087635193794
0.375875,2.64563561683684,2.65098638383703
0.3833725,2.63586109501071,2.6410991916795
0.39087,2.62608492888846,2.63121465816708
0.3983675,2.61630724648359,2.62133267565646
0.405865,2.60652816707126,2.61145314526759
0.4133625,2.59674780198345,2.60157597608902
0.42086,2.58696625531907,2.59170108446807
0.4283575,2.57718362457953,2.58182839337567
0.435855,2.5674000012388,2.57195783183666
0.4433525,2.55761547125552,2.56208933441787
0.45085,2.54783011553418,2.55222284076736
0.4583475,2.53804401034089,2.54235829519879
0.465845,2.5282572276792,2.53249564631593
0.4733425,2.51846983562999,2.52263484667285
0.48084,2.50868189865978,2.51277585246593
0.4883375,2.49889347790052,2.50291862325413
0.495835,2.48910463140403,2.49306312170477
0.5033325,2.47931541437373,2.48320931336185
0.51083,2.46952587937593,2.47335716643492
0.5183275,2.45973607653281,2.46350665160612
0.525825,2.44994605369887,2.45365774185386
0.5333225,2.4401558566225,2.4438104122912
0.54082,2.43036552909415,2.43396464001778
0.5483175,2.42057511308224,2.42412040398384
0.555815,2.41078464885818,2.41427768486521
0.5633125,2.40099417511129,2.40443646494835
0.57081,2.39120372905477,2.39459672802428
0.5783075,2.3814133465233,2.3847584592909
0.585805,2.37162306206324,2.37492164526273
0.5933025,2.36183290901588,2.36508627368746
0.6008,2.35204291959452,2.35525233346878
0.6082975,2.34225312495582,2.34541981459482
0.615795,2.33246355526586,2.33558870807189
0.6232925,2.32267423976153,2.32575900586295
0.63079,2.3128852068074,2.31593070083041
0.6382875,2.30309648394866,2.306103786683
0.645785,2.29330809796029,2.29627825792627
0.6532825,2.28352007489286,2.28645410981655
0.66078,2.2737324401152,2.27663133831793
0.6682775,2.26394521835409,2.26680994006222
0.675775,2.25415843373139,2.25698991231146
0.6832725,2.24437210979868,2.24717125292291
0.69077,2.23458626956952,2.23735396031636
0.6982675,2.22480093554974,2.22753803344343
0.705765,2.21501612976571,2.21772347175885
0.7132625,2.20523187379076,2.20791027519353
0.72076,2.19544818877,2.1980984441293
0.7282575,2.1856650954435,2.18828797937516
0.735755,2.1758826141681,2.17847888214494
0.7432525,2.16610076493782,2.1686711540364
0.75075,2.15631956740298,2.15886479701139
0.7582475,2.14653904088825,2.14905981337731
0.765745,2.13675920440952,2.13925620576956
0.7732425,2.12698007668979,2.12945397713499
0.78074,2.11720167617412,2.11965313071634
0.7882375,2.10742402104363,2.10985367003743
0.795735,2.09764712922876,2.10005559888929
0.8032325,2.08787101842169,2.09025892131694
0.81073,2.07809570608805,2.08046364160696
0.8182275,2.06832120947794,2.07066976427561
0.825725,2.05854754563631,2.06087729405773
0.8332225,2.04877473141279,2.05108623589603
0.84072,2.03900278347085,2.0412965949311
0.8482175,2.02923171829654,2.03150837649179
0.855715,2.01946155220666,2.02172158608613
0.8632125,2.00969230135651,2.01193622939273
0.87071,1.99992398174714,2.00215231225249
0.8782075,1.99015660923226,1.99236984066084
0.885705,1.98039019952471,1.98258882076027
0.8932025,1.97062476820256,1.97280925883319
0.9007,1.96086033071489,1.96303116129523
0.9081975,1.95109690238726,1.95325453468873
0.915695,1.94133449842682,1.94347938567662
0.9231925,1.93157313392724,1.93370572103658
0.93069,1.92181282387339,1.92393354765553
0.9381875,1.91205358314587,1.91416287252449
0.945685,1.90229542652578,1.90439370273409
0.9531825,1.89253836870044,1.89462604547164
0.96068,1.88278242427434,1.88485990802359
0.9681775,1.87302760781517,1.8750952978138
0.975675,1.86327393500147,1.86533222354354
0.9831725,1.85352141481755,1.85557068737929
0.99067,1.84377006826121,1.84581070365362
0.9981675,1.83401990649109,1.836052277006
1.005665,1.82427094378456,1.82629541533454
1.0131625,1.81452319418903,1.81654012644141
1.02066,1.80477667165946,1.80678641816469
1.0281575,1.79503139007577,1.79703429839043
1.035655,1.78528736324809,1.78728377505287
1.0431525,1.77554460491973,1.77753485613241
1.05065,1.76580312876913,1.76778754965308
1.0581475,1.75606294841159,1.75804186367975
1.065645,1.74632407740074,1.74829780631544
1.0731425,1.73658652922988,1.73855538569864
1.08064,1.72685031733322,1.72881461000068
1.0881375,1.71711545508692,1.7190754874232
1.095635,1.70738195581017,1.70933802619568
1.1031325,1.69764983276605,1.69960223457303
1.11063,1.68791909916237,1.6898681208333
1.1181275,1.67818976815247,1.68013569327534
1.125625,1.66846185283581,1.67040496021667
1.1331225,1.65873536625862,1.66067592999133
1.14062,1.64901032141442,1.65094861094774
1.1481175,1.63928673124447,1.64122301144675
1.155615,1.62956460863817,1.63149913985963
1.1631125,1.61984396643339,1.62177700456616
1.17061,1.61012481741677,1.61205661395273
1.1781075,1.60040717432389,1.60233797641055
1.185605,1.59069104983952,1.59262110033385
1.1931025,1.58097645659763,1.58290599411817
1.2006,1.57126340718157,1.5731926661586
1.2080975,1.56155191412399,1.5634811248482
1.215595,1.55184198990689,1.55377137857631
1.2230925,1.54213364696153,1.54406343572703
1.23059,1.53242689766832,1.53435730467762
1.2380875,1.52272175435666,1.52465299379703
1.245585,1.5130182293048,1.51495051144437
1.2530825,1.5033163347396,1.5052498659675
1.26058,1.49361608283626,1.49555106570159
1.2680775,1.48391748571806,1.48585411896775
1.275575,1.47422055545606,1.47615903407163
1.2830725,1.46452530406872,1.46646581930211
1.29057,1.45483174352157,1.45677448292999
1.2980675,1.44513988572677,1.44708503320668
1.305565,1.43544974254273,1.43739747836298
1.3130625,1.42576132577364,1.42771182660781
1.32056,1.41607464716901,1.41802808612703
1.3280575,1.40638971842317,1.40834626508221
1.335555,1.39670655117476,1.39866637160948
1.3430525,1.38702515700623,1.3889884138184
1.35055,1.37734554744326,1.3793123997908
1.3580475,1.36766773395418,1.36963833757971
1.365545,1.35799172794945,1.35996623520822
1.3730425,1.34831754078101,1.35029610066849
1.38054,1.33864518374168,1.34062794192062
1.3880375,1.32897466806453,1.33096176689167
1.395535,1.31930600492229,1.32129758347465
1.4030325,1.30963920542663,1.31163539952749
1.41053,1.29997428062753,1.30197522287207
1.4180275,1.29031124151266,1.2923170612933
1.425525,1.2806500990066,1.28266092253813
1.4330225,1.27099086397024,1.27300681431462
1.44052,1.26133354720005,1.26335474429109
1.4480175,1.25167815942735,1.25370472009513
1.455515,1.24202471131766,1.2440567493128
1.4630125,1.23237321346995,1.23441083948772
1.47051,1.22272367641589,1.22476699812023
1.4780075,1.21307611061918,1.21512523266655
1.485505,1.20343052647481,1.20548555053799
1.4930025,1.19378693430828,1.19584795910007
1.5005,1.18414534437491,1.18621246567182
1.5079975,1.1745057668591,1.17657907752493
1.515495,1.16486821187356,1.166947801883
1.5229925,1.1552326894586,1.15731864592083
1.53049,1.14559920958136,1.14769161676361
1.5379875,1.13596778213511,1.13806672148627
1.545485,1.12633841693844,1.1284439671127
1.5529825,1.11671112373459,1.11882336061511
1.56048,1.10708591219065,1.10920490891332
1.5679775,1.09746279189687,1.09958861887406
1.575475,1.08784177236588,1.08997449731036
1.5829725,1.07822286303197,1.08036255098087
1.59047,1.06860607325038,1.07075278658924
1.5979675,1.05899141229654,1.06114521078347
1.605465,1.04937888936533,1.05153983015534
1.6129625,1.0397685135704,1.04193665123978
1.62046,1.03016029394344,1.03233568051429
1.6279575,1.02055423943343,1.02273692439837
1.635455,1.01095035890596,1.01314038925296
1.6429525,1.00134866114253,1.00354608137986
1.65045,0.991749154839807,0.993954007021223
1.6579475,0.982151848608991,0.984364172359014
1.665445,0.972556750975075,0.97477658351448
1.6729425,0.96296387037618,0.965191246547652
1.68044,0.953373215162876,0.955608167456845
1.6879375,0.943784793597507,0.946027352178172
1.695435,0.934198613853529,0.936448806585069
1.7029325,0.924614684014846,0.926872536487825
1.71043,0.91503301207516,0.91729854763313
1.7179275,0.905453605937326,0.907726845703629
1.725425,0.895876473412709,0.898157436317484
1.7329225,0.88630162222056,0.888590325027951
1.74042,0.876729059987383,0.87902551732296
1.7479175,0.867158794246324,0.86946301862471
1.755415,0.857590832436558,0.859902834289272
1.7629125,0.848025181902688,0.850344969606198
1.77041,0.838461849894151,0.840789429798139
1.7779075,0.82890084356463,0.831236220020481
1.785405,0.819342169971478,0.821685345360972
1.7929025,0.809785836075137,0.812136810839376
1.8004,0.800231848738588,0.802590621407118
1.8078975,0.790680214726782,0.793046781946953
1.815395,0.781130940706101,0.78350529727263
1.8228925,0.771584033243813,0.773966172128568
1.83039,0.762039498807536,0.76442941118954
1.8378875,0.752497343764723,0.754895019060366
1.845385,0.742957574382132,0.745363000275604
1.8528825,0.733420196825326,0.735833359299258
1.86038,0.723885217158164,0.726306100524487
1.8678775,0.714352641342309,0.716781228273316
1.875375,0.704822475236739,0.707258746796363
1.8828725,0.695294724597269,0.697738660272564
1.89037,0.685769395076074,0.6882209728089
1.8978675,0.676246492221225,0.67870568844014
1.905365,0.666726021476231,0.669192811128578
1.9128625,0.657207988179582,0.659682344763781
1.92036,0.647692397564308,0.650174293162334
1.9278575,0.638179254757536,0.640668660067599
1.935355,0.628668564780058,0.631165449149468
1.9428525,0.619160332545905,0.621664664004122
1.95035,0.609654562861924,0.612166308153795
1.9578475,0.600151260427364,0.602670385046537
1.965345,0.590650429833466,0.593176898055982
1.9728425,0.581152075563056,0.583685850481117
1.98034,0.571656201990151,0.57419724554605
1.9878375,0.562162813379559,0.564711086399782
1.995335,0.552671913886492,0.555227376115978
2.0028325,0.543183507556181,0.545746117692741
2.01033,0.53369759832349,0.53626731405238
2.0178275,0.524214190012546,0.526790968041188
2.025325,0.514733286336359,0.517317082429204
2.0328225,0.505254890896454,0.507845659909991
2.04032,0.495779007182501,0.498376703100399
2.0478175,0.486305638571954,0.488910214540331
2.055315,0.476834788329686,0.479446196692509
2.0628125,0.467366459607628,0.469984651942236
2.07031,0.457900655444412,0.460525582597151
2.0778075,0.448437378765013,0.451068990886982
2.085305,0.438976632380393,0.441614878963302
2.0928025,0.429518418987147,0.432163248899269
2.1003,0.420062741167146,0.422714102689372
2.1077975,0.410609601387184,0.413267442249163
2.115295,0.401159001998621,0.403823269414988
2.1227925,0.391710945237029,0.394381585943712
2.13029,0.382265433221835,0.384942393512437
2.1377875,0.372822467955962,0.375505693718211
2.145285,0.363382051325469,0.36607148807773
2.1527825,0.353944185099191,0.356639778027037
2.16028,0.344508870928371,0.347210564921203
2.1677775,0.335076110346292,0.337783850034011
2.175275,0.32564590476791,0.328359634557617
2.1827725,0.316218255489475,0.318937919602218
2.19027,0.306793163688154,0.309518706195693
2.1977675,0.297370630421643,0.300101995283243
2.205265,0.287950656627785,0.290687787727017
2.2127625,0.278533243124167,0.281276084305731
2.22026,0.269118390607727,0.271866885714265
2.2277575,0.259706099654342,0.262460192563257
2.235255,0.250296370718416,0.253056005378677
2.2427525,0.24088920413246,0.243654324601396
2.25025,0.231484600106659,0.234255150586726
2.2577475,0.22208255872844,0.224858483603966
2.265245,0.212683079962024,0.215464323835913
2.2727425,0.203286163647969,0.20607267137837
2.28024,0.193891809502709,0.196683526239635
2.2877375,0.184500017118077,0.187296888339968
2.295235,0.175110785960822,0.177912757511053
2.3027325,0.165724115372111,0.168531133495427
2.31023,0.156340004567021,0.159152015945905
2.3177275,0.146958452634021,0.149775404424978
2.325225,0.137579458534441,0.140401298404194
2.3327225,0.128203021101924,0.131029697263522
2.34022,0.11882913904187,0.121660600290693
2.3477175,0.109457810930863,0.112294006680521
2.355215,0.100089035216084,0.102929915534203
2.3627125,0.090722810214712,0.0935683258586018
2.37021,0.0813591341133041,0.0842092365654968
2.3777075,0.0719980049671645,0.0748526464708235
2.385205,0.062639420699697,0.0654985542938844
2.3927025,0.0532833791017368,0.0561469586565351
2.4002,0.0439298778308696,0.0467978580823505
2.4076975,0.0345789144107306,0.0374512509957636
2.415195,0.0252304862302842,0.0281071357211801
2.4226925,0.0158845905430897,0.0187655104820697
2.43019,0.00654122446654113,0.00942637340002761
2.4376875,-0.00279961501890737,8.97224938125746E-05
2.445185,-0.0121379310705387,-0.00924444432164254
2.4526825,-0.0214737269841901,-0.0185761292362477
2.46018,-0.0308070061950916,-0.027905334545801
2.4676775,-0.0401377722787254,-0.0372320626530603
2.475175,-0.0494660289517093,-0.0465563160688462
2.4826725,-0.0587917800726994,-0.0558780974131718
2.49017,-0.0681150296433205,-0.0651974094164041
2.4976675,-0.0774357818091153,-0.0745142549204545
2.505165,-0.0867540408605192,-0.0838286368799975
2.5126625,-0.0960698112338621,-0.093140558363727
2.52016,-0.105383097512392,-0.102450022555637
2.5276575,-0.114693904427323,-0.111757032756336
2.535155,-0.124002236858915,-0.121061592384399
2.5426525,-0.133308099837573,-0.130363704977745
2.55015,-0.142611498544975,-0.139663374195048
2.5576475,-0.151912438315231,-0.148960603817191
2.565145,-0.161210924636064,-0.158255397748742
2.5726425,-0.170506963150025,-0.167547760019473
2.58014,-0.179800559655728,-0.176837694785907
2.5876375,-0.189091720109124,-0.186125206332908
2.595135,-0.198380450624798,-0.1954102990753
2.6026325,-0.207666757477297,-0.204692977559527
2.61013,-0.216950647102489,-0.213973246465345
2.6176275,-0.226232126098951,-0.223251110607552
2.625125,-0.235511201229393,-0.232526574937763
2.6326225,-0.244787879422107,-0.241799644546207
2.64012,-0.254062167772452,-0.251070324663577
2.6476175,-0.263334073544368,-0.260338620662913
2.655115,-0.27260360417193,-0.269604538061517
2.6626125,-0.281870767260925,-0.278868082522921
2.67011,-0.29113557059047,-0.288129259858882
2.6776075,-0.300398022114662,-0.297388076031421
2.685105,-0.309658129964262,-0.306644537154909
2.6926025,-0.318915902448412,-0.315898649498181
2.7001,-0.328171348056389,-0.325150419486699
2.7075975,-0.337424475459399,-0.334399853704756
2.715095,-0.346675293512393,-0.34364695889772
2.7225925,-0.355923811255938,-0.352891741974318
2.73009,-0.365170037918107,-0.362134210008969
2.7375875,-0.374413982916422,-0.371374370244147
2.745085,-0.383655655859818,-0.380612230092802
2.7525825,-0.392895066550659,-0.389847797140814
2.76008,-0.402132224986783,-0.399081079149493
2.7675775,-0.411367141363592,-0.408312084058126
2.775075,-0.420599826076174,-0.417540819986561
2.7825725,-0.429830289721468,-0.426767295237845
2.79007,-0.439058543100471,-0.435991518300899
2.7975675,-0.448284597220479,-0.445213497853239
2.805065,-0.457508463297375,-0.454433242763752
2.8125625,-0.466730152757949,-0.463650762095502
2.82006,-0.475949677242271,-0.472866065108595
2.8275575,-0.485167048606093,-0.482079161263083
2.835055,-0.494382278923301,-0.491290060221924
2.8425525,-0.503595380488406,-0.500498771853974
2.85005,-0.512806365819082,-0.509705306237045
2.8575475,-0.522015247658741,-0.518909673660993
2.865045,-0.531222038979151,-0.528111884630871
2.8725425,-0.54042675298311,-0.537311949870115
2.88004,-0.549629403107148,-0.546509880323794
2.8875375,-0.558830003024287,-0.5557056871619
2.895035,-0.568028566646839,-0.564899381782689
2.9025325,-0.577225108129258,-0.574090975816079
2.91003,-0.586419641871026,-0.583280481127092
2.9175275,-0.5956121825196,-0.592467909819352
2.925025,-0.604802744973401,-0.601653274238638
2.9325225,-0.613991344384853,-0.610836586976481
2.94002,-0.623177996163469,-0.620017860873828
2.9475175,-0.632362715978996,-0.62919710902475
2.955015,-0.641545519764597,-0.638374344780215
2.9625125,-0.650726423720105,-0.647549581751908
2.97001,-0.659905444315317,-0.656722833816122
2.9775075,-0.669082598293347,-0.665894115117696
2.985005,-0.678257902674039,-0.675063440074024
2.9925025,-0.687431374757438,-0.684230823379121
3,-0.696603032127316,-0.693396280007757
